# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 1.00 degrees
# Total Points: 81 x 81 = 6561
# Timestamp: 20260204_100304
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-40.00,19.00,0.00,182.41,1102.75,1602.35,-0.00,-0.00,2158.00,1552.92,1446.96
-40.00,20.00,0.00,190.73,1114.22,1605.57,0.00,0.00,2158.00,1554.36,1413.54
-40.00,21.00,0.00,198.96,1125.60,1609.39,-0.00,0.00,2158.00,1556.56,1380.32
-40.00,22.00,0.00,207.13,1136.87,1613.80,0.00,-0.00,2158.00,1559.54,1347.29
-40.00,23.00,0.00,215.24,1148.06,1618.79,-0.00,0.00,2158.00,1563.28,1314.41
-40.00,24.00,0.00,223.28,1159.17,1624.34,-0.00,0.00,2158.00,1567.79,1281.66
-40.00,25.00,0.00,231.28,1170.20,1630.44,0.00,-0.00,2158.00,1573.05,1249.04
-40.00,26.00,0.00,239.23,1181.17,1637.09,0.00,0.00,2158.00,1579.08,1216.50
-40.00,27.00,0.00,247.13,1192.08,1644.27,-0.00,-0.00,2158.00,1585.86,1184.04
-40.00,28.00,0.00,255.00,1202.94,1651.98,-0.00,0.00,2158.00,1593.41,1151.64
-40.00,29.00,0.00,262.83,1213.76,1660.22,0.00,-0.00,2158.00,1601.72,1119.27
-40.00,30.00,0.00,270.64,1224.54,1668.97,-0.00,-0.00,2158.00,1610.80,1086.92
-40.00,31.00,0.00,278.43,1235.29,1678.24,-0.00,-0.00,2158.00,1620.66,1054.56
-40.00,32.00,0.00,286.20,1246.01,1688.02,0.00,0.00,2158.00,1631.30,1022.18
-40.00,33.00,0.00,293.95,1256.72,1698.31,0.00,0.00,2158.00,1642.73,989.75
-40.00,34.00,0.00,301.70,1267.41,1709.10,-0.00,-0.00,2158.00,1654.96,957.26
-40.00,35.00,0.00,309.45,1278.10,1720.41,0.00,0.00,2158.00,1667.99,924.69
-40.00,36.00,0.00,317.20,1288.80,1732.21,0.00,-0.00,2158.00,1681.85,892.01
-40.00,37.00,0.00,324.95,1299.50,1744.53,0.00,0.00,2158.00,1696.53,859.21
-40.00,38.00,0.00,332.71,1310.22,1757.35,0.00,-0.00,2158.00,1712.07,826.26
-40.00,39.00,0.00,3838.00,14889.61,-8098.95,0.00,-0.00,-19690.75,-2874.25,-1318.92
-40.00,40.00,0.00,3838.00,14674.77,-8470.53,0.00,0.00,-19153.73,-2908.56,-1265.97
-39.00,-40.00,0.00,0.00,-0.00,2049.25,499.31,376.19,1320.58,2010.63,2158.00
-39.00,-39.00,0.00,0.00,-0.00,2058.59,456.48,370.65,1332.98,2017.76,2158.00
-39.00,-38.00,0.00,-0.00,0.00,2069.07,412.67,365.03,1345.53,2025.79,2158.00
-39.00,-37.00,0.00,0.00,0.00,2080.75,367.80,359.33,1358.27,2034.74,2158.00
-39.00,-36.00,0.00,0.00,-0.00,2093.66,321.83,353.55,1371.18,2044.68,2158.00
-39.00,-35.00,0.00,0.00,0.00,2107.87,274.67,347.68,1384.29,2055.64,2158.00
-39.00,-34.00,0.00,0.00,0.00,2123.43,226.25,341.72,1397.61,2067.70,2158.00
-39.00,-33.00,0.00,0.00,-0.00,2140.42,176.48,335.66,1411.16,2080.90,2158.00
-39.00,-32.00,0.00,0.00,0.00,2158.90,125.29,329.49,1424.94,2095.33,2158.00
-39.00,-31.00,0.00,-0.00,-0.00,2178.95,72.57,323.21,1438.97,2111.05,2158.00
-39.00,-30.00,0.00,0.00,0.00,2200.66,18.23,316.82,1453.27,2128.15,2158.00
-39.00,-29.00,0.00,-0.00,22.75,2185.77,0.00,307.55,1473.95,2118.57,2158.00
-39.00,-28.00,0.00,-0.00,56.09,2153.80,0.00,296.97,1497.55,2096.12,2158.00
-39.00,-27.00,0.00,0.00,88.82,2123.43,-0.00,286.44,1521.03,2074.44,2158.00
-39.00,-26.00,0.00,-0.00,120.97,2094.61,0.00,275.97,1544.39,2053.50,2158.00
-39.00,-25.00,0.00,0.00,152.58,2067.26,0.00,265.54,1567.65,2033.31,2158.00
-39.00,-24.00,0.00,-0.00,183.68,2041.35,0.00,255.15,1590.83,2013.86,2158.00
-39.00,-23.00,0.00,-0.00,214.30,2016.82,0.00,244.79,1613.94,1995.12,2158.00
-39.00,-22.00,0.00,0.00,244.47,1993.62,0.00,234.45,1637.00,1977.11,2158.00
-39.00,-21.00,0.00,-0.00,274.22,1971.72,0.00,224.13,1660.02,1959.80,2158.00
-39.00,-20.00,0.00,0.00,303.58,1951.07,-0.00,213.82,1683.02,1943.20,2158.00
-39.00,-19.00,0.00,-0.00,332.57,1931.64,-0.00,203.52,1706.00,1927.30,2158.00
-39.00,-18.00,0.00,-0.00,361.21,1913.39,-0.00,193.21,1728.99,1912.10,2158.00
-39.00,-17.00,0.00,-0.00,389.53,1896.29,-0.00,182.90,1751.99,1897.60,2158.00
-39.00,-16.00,0.00,0.00,417.54,1880.32,-0.00,172.57,1775.03,1883.79,2158.00
-39.00,-15.00,0.00,0.00,445.29,1865.44,-0.00,162.23,1798.11,1870.68,2158.00
-39.00,-14.00,0.00,0.00,472.77,1851.63,0.00,151.85,1821.25,1858.27,2158.00
-39.00,-13.00,0.00,0.00,500.01,1838.86,0.00,141.45,1844.46,1846.55,2158.00
-39.00,-12.00,0.00,0.00,527.04,1827.13,0.00,131.00,1867.76,1835.54,2158.00
-39.00,-11.00,0.00,-0.00,553.87,1816.40,0.00,120.51,1891.16,1825.23,2158.00
-39.00,-10.00,0.00,0.00,580.52,1806.67,0.00,109.96,1914.69,1815.64,2158.00
-39.00,-9.00,0.00,-0.00,607.00,1797.91,-0.00,99.36,1938.34,1806.77,2158.00
-39.00,-8.00,0.00,-0.00,633.35,1790.12,0.00,88.69,1962.15,1798.62,2158.00
-39.00,-7.00,0.00,0.00,659.56,1783.27,0.00,77.94,1986.12,1791.22,2158.00
-39.00,-6.00,0.00,0.00,685.66,1777.36,0.00,67.12,2010.27,1784.56,2158.00
-39.00,-5.00,0.00,0.00,711.66,1772.39,0.00,56.20,2034.62,1778.67,2158.00
-39.00,-4.00,0.00,-0.00,737.59,1768.33,0.00,45.19,2059.18,1773.56,2158.00
-39.00,-3.00,0.00,-0.00,763.46,1765.19,0.00,34.07,2083.98,1769.24,2158.00
-39.00,-2.00,0.00,-0.00,789.27,1762.97,0.00,22.84,2109.03,1765.73,2158.00
-39.00,-1.00,0.00,-0.00,815.06,1761.65,-0.00,11.48,2134.36,1763.06,2158.00
-39.00,0.00,0.00,0.00,840.07,1758.60,0.00,0.00,2158.00,1758.60,2154.77
-39.00,1.00,0.00,11.41,855.61,1743.96,-0.00,-0.00,2158.00,1742.38,2113.12
-39.00,2.00,0.00,22.56,870.80,1730.73,-0.00,-0.00,2158.00,1727.34,2072.23
-39.00,3.00,0.00,33.46,885.66,1718.83,0.00,0.00,2158.00,1713.45,2032.05
-39.00,4.00,0.00,44.14,900.21,1708.18,0.00,-0.00,2158.00,1700.65,1992.54
-39.00,5.00,0.00,54.60,914.47,1698.71,0.00,-0.00,2158.00,1688.93,1953.66
-39.00,6.00,0.00,64.86,928.44,1690.36,-0.00,0.00,2158.00,1678.25,1915.37
-39.00,7.00,0.00,74.92,942.16,1683.07,-0.00,-0.00,2158.00,1668.57,1877.64
-39.00,8.00,0.00,84.81,955.63,1676.79,-0.00,0.00,2158.00,1659.88,1840.43
-39.00,9.00,0.00,94.53,968.88,1671.47,0.00,-0.00,2158.00,1652.14,1803.71
-39.00,10.00,0.00,104.09,981.90,1667.06,0.00,0.00,2158.00,1645.34,1767.45
-39.00,11.00,0.00,113.49,994.72,1663.54,0.00,0.00,2158.00,1639.45,1731.61
-39.00,12.00,0.00,122.76,1007.35,1660.85,0.00,0.00,2158.00,1634.45,1696.17
-39.00,13.00,0.00,131.90,1019.80,1658.96,0.00,0.00,2158.00,1630.33,1661.10
-39.00,14.00,0.00,140.91,1032.08,1657.85,-0.00,0.00,2158.00,1627.07,1626.37
-39.00,15.00,0.00,149.81,1044.21,1657.49,-0.00,0.00,2158.00,1624.65,1591.97
-39.00,16.00,0.00,158.60,1056.19,1657.85,-0.00,0.00,2158.00,1623.07,1557.85
-39.00,17.00,0.00,167.29,1068.02,1658.90,-0.00,0.00,2158.00,1622.31,1524.00
-39.00,18.00,0.00,175.88,1079.74,1660.63,-0.00,0.00,2158.00,1622.36,1490.40
-39.00,19.00,0.00,184.39,1091.33,1663.02,-0.00,0.00,2158.00,1623.22,1457.01
-39.00,20.00,0.00,192.81,1102.81,1666.04,-0.00,-0.00,2158.00,1624.87,1423.83
-39.00,21.00,0.00,201.16,1114.19,1669.69,0.00,-0.00,2158.00,1627.31,1390.83
