WriteCoords(TL_x,TL_y,TR_x,TR_y,BL_x,BL_y,BR_x,BR_y)	ErrorCode
875,931,3839,0,0,2159,2219,1061	0
1225,931,3839,0,0,2159,2671,1579	0
1225,931,3839,0,0,2159,2671,1929	0
1225,931,3839,0,0,2159,3021,1579	0
1225,931,3839,0,0,2159,3021,1929	0
1225,931,3839,0,0,2159,3371,1579	0
1225,931,3839,0,0,2159,3371,1929	0
1225,931,3839,0,0,2159,3721,1579	0
1225,931,3839,0,0,2159,3721,1929	0
1225,931,3839,0,0,2159,1519,1579	0
1225,931,3839,0,0,2159,1519,1929	0
1225,931,3839,0,0,2159,1869,1579	0
1225,931,3839,0,0,2159,1869,1929	0
1225,931,3839,0,0,2159,2219,1579	0
1225,931,3839,0,0,2159,2219,1929	0
1225,931,3839,0,0,2159,2671,1061	0
1225,931,3839,0,0,2159,3021,1061	0
1225,931,3839,0,0,2159,3371,1061	0
1225,931,3839,0,0,2159,3721,1061	0
1225,931,3839,0,0,2159,1519,1061	0
1225,931,3839,0,0,2159,1869,1061	0
1225,931,3839,0,0,2159,2219,1061	0
1519,931,3839,0,0,2159,2671,1579	0
1519,931,3839,0,0,2159,2671,1929	0
1519,931,3839,0,0,2159,3021,1579	0
1519,931,3839,0,0,2159,3021,1929	0
1519,931,3839,0,0,2159,3371,1579	0
1519,931,3839,0,0,2159,3371,1929	0
1519,931,3839,0,0,2159,3721,1579	0
1519,931,3839,0,0,2159,3721,1929	0
1519,931,3839,0,0,2159,1519,1579	0
1519,931,3839,0,0,2159,1519,1929	0
1519,931,3839,0,0,2159,1869,1579	0
1519,931,3839,0,0,2159,1869,1929	0
1519,931,3839,0,0,2159,2219,1579	0
1519,931,3839,0,0,2159,2219,1929	0
1519,931,3839,0,0,2159,2671,1061	0
1519,931,3839,0,0,2159,3021,1061	0
1519,931,3839,0,0,2159,3371,1061	0
1519,931,3839,0,0,2159,3721,1061	0
1519,931,3839,0,0,2159,1519,1061	0
1519,931,3839,0,0,2159,1869,1061	0
1519,931,3839,0,0,2159,2219,1061	0
1869,931,3839,0,0,2159,2671,1579	0
1869,931,3839,0,0,2159,2671,1929	0
1869,931,3839,0,0,2159,3021,1579	0
1869,931,3839,0,0,2159,3021,1929	0
1869,931,3839,0,0,2159,3371,1579	0
1869,931,3839,0,0,2159,3371,1929	0
1869,931,3839,0,0,2159,3721,1579	0
